time,i082_ergs_per_cm2_per_s,i082_W_per_m2,i082_ph_flux
1978-01-01T00:44:13,0.018,1.8e-05,126859737502.07628
1978-01-01T00:57:43,0.019,1.9e-05,133907500696.63608
1978-01-01T01:17:16,0.018,1.8e-05,126859737502.07628
1978-01-01T01:30:43,0.017,1.7000000000000003e-05,119811974307.51653
1978-01-01T01:44:09,0.017,1.7000000000000003e-05,119811974307.51653
1978-01-01T01:55:47,0.018,1.8e-05,126859737502.07628
1978-01-01T02:03:07,0.628,0.000628,4425995286183.55
1978-01-01T02:03:07,0.098,9.8e-05,690680793066.8597
1978-01-01T02:11:09,0.018,1.8e-05,126859737502.07628
1978-01-01T02:19:11,0.019,1.9e-05,133907500696.63608
1978-01-01T02:27:00,0.018,1.8e-05,126859737502.07628
1978-01-01T02:40:26,0.017,1.7000000000000003e-05,119811974307.51653
1978-01-01T02:53:52,0.018,1.8e-05,126859737502.07628
1978-01-01T03:07:19,0.017,1.7000000000000003e-05,119811974307.51653
1978-01-01T03:20:49,0.018,1.8e-05,126859737502.07628
1978-01-01T03:34:15,0.019,1.9e-05,133907500696.63608
1978-01-01T03:47:41,0.017,1.7000000000000003e-05,119811974307.51653
1978-01-01T04:01:08,0.016,1.6e-05,112764211112.95668
1978-01-01T04:14:38,0.017,1.7000000000000003e-05,119811974307.51653
1978-01-01T04:28:04,0.017,1.7000000000000003e-05,119811974307.51653
1978-01-01T04:41:31,0.018,1.8e-05,126859737502.07628
1978-01-01T04:46:22,0.036,3.6e-05,253719475004.15256
1978-01-01T04:46:22,0.024,2.4e-05,169146316669.43503
1978-01-01T04:49:04,0.018,1.8e-05,126859737502.07628
1978-01-01T05:02:27,0.017,1.7000000000000003e-05,119811974307.51653
1978-01-01T05:07:47,0.02,2e-05,140955263891.19586
1978-01-01T05:07:47,0.032,3.2e-05,225528422225.91336
1978-01-01T05:10:29,0.113,0.000113,796397240985.2566
1978-01-01T05:10:29,0.059,5.9e-05,415818028479.0278
1978-01-01T05:15:50,0.03,3e-05,211432895836.7938
1978-01-01T05:15:50,0.02,2e-05,140955263891.19586
1978-01-01T05:21:10,0.018,1.8e-05,126859737502.07628
1978-01-01T05:28:01,0.019,1.9e-05,133907500696.63608
1978-01-01T05:41:27,0.02,2e-05,140955263891.19586
1978-01-01T05:50:38,0.026,2.6e-05,183241843058.5546
1978-01-01T05:53:16,0.051,5.1e-05,359435922922.54944
1978-01-01T05:55:58,0.135,0.000135,951448031265.572
1978-01-01T06:08:20,0.084,8.400000000000001e-05,592012108343.0226
1978-01-01T06:14:27,0.07,7.000000000000001e-05,493343423619.1856
1978-01-01T06:18:46,0.056,5.6e-05,394674738895.3484
1978-01-01T06:22:30,0.046,4.6e-05,324197106949.7505
1978-01-01T06:27:35,0.038,3.8e-05,267815001393.27216
1978-01-01T06:32:49,0.031,3.1e-05,218480659031.3536
1978-01-01T06:40:47,0.026,2.6e-05,183241843058.5546
1978-01-01T06:51:10,0.022,2.2e-05,155050790280.31546
1978-01-01T07:05:34,0.019,1.9e-05,133907500696.63608
1978-01-01T07:10:55,0.026,2.6e-05,183241843058.5546
1978-01-01T07:18:57,0.018,1.8e-05,126859737502.07628
1978-01-01T07:21:39,0.023,2.3e-05,162098553474.87524
1978-01-01T07:29:38,0.03,3e-05,211432895836.7938
1978-01-01T07:34:40,0.025,2.5e-05,176194079863.99484
1978-01-01T07:40:55,0.021,2.1e-05,148003027085.75565
1978-01-01T07:51:07,0.019,1.9e-05,133907500696.63608
1978-01-01T08:00:54,0.022,2.2e-05,155050790280.31546
1978-01-01T08:09:50,0.02,2e-05,140955263891.19586
1978-01-01T08:20:27,0.018,1.8e-05,126859737502.07628
1978-01-01T08:33:53,0.018,1.8e-05,126859737502.07628
1978-01-01T08:47:20,0.018,1.8e-05,126859737502.07628
1978-01-01T09:00:50,0.019,1.9e-05,133907500696.63608
1978-01-01T09:11:49,0.021,2.1e-05,148003027085.75565
1978-01-01T09:13:04,0.023,2.3e-05,162098553474.87524
1978-01-01T09:14:52,0.032,3.2e-05,225528422225.91336
1978-01-01T09:15:14,0.026,2.6e-05,183241843058.5546
1978-01-01T09:15:28,0.041,4.1e-05,288958290976.95154
1978-01-01T09:17:56,0.067,6.7e-05,472200134035.50616
1978-01-01T09:20:13,0.055,5.5e-05,387626975700.78864
1978-01-01T09:30:46,0.05,5e-05,352388159727.9897
1978-01-01T09:37:08,0.039,3.9e-05,274862764587.8319
1978-01-01T09:43:58,0.032,3.2e-05,225528422225.91336
1978-01-01T09:50:06,0.028,2.8e-05,197337369447.6742
1978-01-01T09:55:37,0.023,2.3e-05,162098553474.87524
1978-01-01T10:10:33,0.023,2.3e-05,162098553474.87524
1978-01-01T10:24:00,0.022,2.2e-05,155050790280.31546
1978-01-01T10:37:26,0.023,2.3e-05,162098553474.87524
1978-01-01T10:52:37,0.022,2.2e-05,155050790280.31546
1978-01-01T11:00:18,0.021,2.1e-05,148003027085.75565
1978-01-01T11:01:08,0.041,4.1e-05,288958290976.95154
1978-01-01T11:01:08,0.076,7.6e-05,535630002786.5443
1978-01-01T11:09:07,0.041,4.1e-05,288958290976.95154
1978-01-01T13:31:01,0.024,2.4e-05,169146316669.43503
1978-01-01T13:31:26,0.021,2.1e-05,148003027085.75565
1978-01-01T13:37:26,0.018,1.8e-05,126859737502.07628
1978-01-01T13:43:08,0.032,3.2e-05,225528422225.91336
1978-01-01T13:45:10,0.027,2.7e-05,190289606253.1144
1978-01-01T13:45:10,0.022,2.2e-05,155050790280.31546
1978-01-01T13:50:52,0.018,1.8e-05,126859737502.07628
1978-01-01T14:03:07,0.02,2e-05,140955263891.19586
1978-01-01T14:08:27,0.018,1.8e-05,126859737502.07628
1978-01-01T14:12:43,0.019,1.9e-05,133907500696.63608
1978-01-01T14:32:34,0.02,2e-05,140955263891.19586
1978-01-01T14:37:55,0.016,1.6e-05,112764211112.95668
1978-01-01T14:45:14,0.02,2e-05,140955263891.19586
1978-01-01T18:30:46,0.025,2.5e-05,176194079863.99484
1978-01-01T18:32:02,0.029,2.9000000000000004e-05,204385132642.23404
1978-01-01T19:02:34,0.025,2.5e-05,176194079863.99484
1978-01-01T19:05:34,0.043,4.3e-05,303053817366.07104
1978-01-01T19:09:10,0.038,3.8e-05,267815001393.27216
1978-01-01T19:09:43,0.03,3e-05,211432895836.7938
1978-01-01T19:16:15,0.061,6.1e-05,429913554868.14734
1978-01-01T19:16:19,0.025,2.5e-05,176194079863.99484
1978-01-01T19:18:28,0.04,4e-05,281910527782.3917
1978-01-01T19:21:14,0.034,3.4000000000000007e-05,239623948615.03305
1978-01-01T19:26:27,0.027,2.7e-05,190289606253.1144
