time,i082_ergs_per_cm2_per_s,i082_W_per_m2,i082_ph_flux
1978-04-01T04:52:18,0.018278,1.8278e-05,128819015670.1639
1978-04-01T04:54:40,0.021847,2.1847e-05,153972482511.5478
1978-04-01T04:55:00,0.02512,2.512e-05,177039811447.34198
1978-04-01T04:55:47,0.033017,3.3017e-05,232695997394.78067
1978-04-01T04:56:51,0.041877,4.1877e-05,295139179298.58044
1978-04-01T05:02:16,0.031773,3.1773e-05,223928579980.7483
1978-04-01T05:02:23,0.045016,4.5016000000000004e-05,317262107966.30365
1978-04-01T05:02:44,0.055707,5.5707e-05,392609744279.3424
1978-04-01T05:03:27,0.0692,6.92e-05,487705213063.5377
1978-04-01T05:03:28,0.037173,3.7173e-05,261986501231.37115
1978-04-01T05:41:27,0.016944,1.6944000000000002e-05,119417299568.62114
1978-04-01T05:49:50,0.013602,1.3602e-05,95863674972.4023
1978-04-01T05:53:48,0.012612,1.2612e-05,88886389409.78812
1978-04-01T05:54:19,0.017554,1.7554e-05,123716435117.30261
1978-04-01T05:59:49,0.017387,1.7387e-05,122539458663.81113
1978-04-01T06:02:36,0.01407,1.4069999999999999e-05,99162028147.45628
1978-04-01T06:08:06,0.013164,1.3164000000000001e-05,92776754693.18512
1978-04-01T07:48:30,0.066111,6.6111e-05,465934672555.54254
1978-04-01T07:50:13,0.034462,3.4462e-05,242880015210.91962
1978-04-01T07:50:31,0.047305,4.7305e-05,333394437918.651
1978-04-01T07:50:54,0.040713,4.0713e-05,286935582940.11285
1978-04-01T07:51:02,0.027209,2.7209e-05,191762588760.7774
1978-04-01T07:51:09,0.055016,5.5016e-05,387739739911.9016
1978-04-01T07:54:52,0.021899,2.1898999999999998e-05,154338966197.66492
1978-04-01T07:58:03,0.03281,3.281e-05,231237110413.5068
1978-04-01T07:58:04,0.027125,2.7125000000000002e-05,191170576652.43442
1978-04-01T07:58:10,0.038386,3.8386e-05,270535437986.37222
1978-04-01T07:58:18,0.044909,4.4909e-05,316507997304.4858
1978-04-01T07:58:57,0.051551,5.1551e-05,363319240442.7519
1978-04-01T08:16:04,0.015623,1.5623e-05,110107204388.60764
1978-04-01T08:16:48,0.019723,1.9723e-05,139003033486.3028
1978-04-01T08:17:27,0.022802,2.2802e-05,160703096362.3524
1978-04-01T11:07:18,0.036594,3.6594e-05,257905846341.7211
1978-04-01T11:08:08,0.031211,3.1210999999999996e-05,219967737065.40567
1978-04-01T11:08:37,0.055232,5.5232e-05,389262056761.9265
1978-04-01T11:08:44,0.064619,6.4619e-05,455419409869.2593
1978-04-01T11:08:49,0.046485,4.6485e-05,327615272099.11194
1978-04-01T11:42:49,0.023555,2.3555e-05,166010062047.85593
1978-04-01T11:46:11,0.021691,2.1691e-05,152873031453.19644
1978-04-01T12:41:40,0.024458,2.4458000000000002e-05,172374192212.54343
1978-04-01T12:43:24,0.02901,2.9010000000000002e-05,204455610274.17963
1978-04-01T15:52:31,0.052756,5.2756e-05,371811795092.1965
1978-04-01T15:52:36,0.064236,6.4236e-05,452720116565.74286
1978-04-01T15:53:56,0.047097,4.7097e-05,331928503174.18256
1978-04-01T21:47:14,0.027861,2.7861e-05,196357730363.6304
1978-04-01T21:52:23,0.034985,3.4985000000000005e-05,246565995361.6744
1978-04-01T22:02:09,0.095116,9.5116e-05,670355044013.7494
1978-04-01T22:02:32,0.02444,2.444e-05,172247332475.04135
1978-04-01T22:03:09,0.02865,2.865e-05,201918415524.13803
1978-04-01T22:03:09,0.075804,7.5804e-05,534248641200.41046
1978-04-01T22:03:12,0.132159,0.000132159,931425336029.8276
1978-04-01T22:03:17,0.173864,0.000173864,1225352300058.9438
1978-04-01T22:03:17,0.060552,6.0552000000000006e-05,426756156956.9846
1978-04-01T22:03:29,0.043247,4.3247e-05,304794614875.1274
1978-04-01T22:03:36,0.116548,0.000116548,821402704799.5547
1978-04-01T22:03:37,0.050597,5.0597000000000004e-05,356595674355.14185
1978-04-01T22:03:45,0.031491,3.1491e-05,221941110759.88245
1978-04-01T22:03:53,0.036843,3.6843e-05,259660739377.16644
1978-04-01T22:20:31,0.024811,2.4811e-05,174862052620.22302
1978-04-01T22:29:55,0.034445,3.4445000000000006e-05,242760203236.6121
1978-04-01T22:30:09,0.027613,2.7612999999999998e-05,194609885091.37955
1978-04-01T22:30:35,0.04292,4.292e-05,302489996310.50635
1978-04-01T22:31:22,0.054277,5.4277e-05,382531442911.12195
1978-04-01T22:33:07,0.065548,6.5548e-05,461966781877.0053
1978-04-01T22:33:34,0.024245,2.4245e-05,170873018652.10217
1978-04-01T22:36:15,0.032115,3.2115e-05,226338914993.28775
1978-04-01T22:36:27,0.040122,4.0122e-05,282770354892.128
1978-04-01T22:56:29,0.027354,2.7354e-05,192784514423.98856
