time,i082_ergs_per_cm2_per_s,i082_W_per_m2,i082_ph_flux
1978-02-01T00:03:47,0.02523,2.523e-05,177815065398.7436
1978-02-01T00:12:08,0.03262,3.262e-05,229898035406.54047
1978-02-01T00:22:59,0.03813,3.8129999999999996e-05,268731210608.56485
1978-02-01T00:33:39,0.04098,4.0980000000000004e-05,288817335713.06036
1978-02-01T00:45:23,0.03959,3.959e-05,279020944872.6222
1978-02-01T00:58:11,0.03623,3.623e-05,255340460538.90128
1978-02-01T01:09:55,0.0359,3.5900000000000005e-05,253014698684.6966
1978-02-01T01:21:53,0.03773,3.773e-05,265912105330.74097
1978-02-01T01:26:41,0.19649,0.00019649,1384814990099.0537
1978-02-01T01:27:13,0.07703,7.703e-05,542889198876.94086
1978-02-01T01:27:14,0.05684,5.6840000000000005e-05,400594859978.7786
1978-02-01T01:27:41,0.04292,4.292e-05,302489996310.50635
1978-02-01T01:27:53,0.11583,0.00011583000000000001,816342410825.8608
1978-02-01T01:36:34,0.03917,3.9170000000000006e-05,276060884330.9071
1978-02-01T01:54:42,0.04251,4.251e-05,299600413400.73676
1978-02-01T02:06:06,0.04141,4.1410000000000005e-05,291847873886.72107
1978-02-01T02:16:02,0.04503,4.503e-05,317360776651.02747
1978-02-01T02:30:58,0.04551,4.551e-05,320743702984.4162
1978-02-01T02:42:42,0.04265,4.265e-05,300587100247.97516
1978-02-01T02:54:26,0.04088,4.088e-05,288112559393.6043
1978-02-01T03:06:10,0.03715,3.715e-05,261824402677.8963
1978-02-01T03:18:29,0.03462,3.462e-05,243993561795.66
1978-02-01T03:29:38,0.03422,3.422e-05,241174456517.83612
1978-02-01T03:41:22,0.0333,3.33e-05,234690514378.84113
1978-02-01T03:53:06,0.03093,3.093e-05,217987315607.73438
1978-02-01T04:04:49,0.03354,3.354e-05,236381977545.53546
1978-02-01T04:13:21,0.03293,3.2930000000000005e-05,232082841996.85403
1978-02-01T04:13:21,0.02717,2.717e-05,191487725996.18954
1978-02-01T04:18:54,0.02434,2.434e-05,171542556155.58536
1978-02-01T04:30:25,0.02308,2.308e-05,162662374530.44
1978-02-01T04:42:09,0.02184,2.1839999999999998e-05,153923148169.18585
1978-02-01T04:53:53,0.02146,2.146e-05,151244998155.25317
1978-02-01T05:05:10,0.02122,2.122e-05,149553534988.5588
1978-02-01T05:17:48,0.02239,2.239e-05,157799417926.1938
1978-02-01T05:23:18,0.02076,2.076e-05,146311563919.0613
1978-02-01T05:29:05,0.0245,2.4500000000000003e-05,172670198266.71494
1978-02-01T05:38:41,0.02299,2.2990000000000002e-05,162028075842.92966
1978-02-01T05:43:22,0.01998,1.9980000000000002e-05,140814308627.3047
1978-02-01T05:48:10,0.01619,1.619e-05,114103286119.92303
1978-02-01T05:49:21,0.01903,1.903e-05,134118933592.47285
1978-02-01T05:50:41,0.02602,2.602e-05,183382798322.44583
1978-02-01T05:50:50,0.02092,2.0920000000000003e-05,147439206030.1909
1978-02-01T05:54:09,0.03262,3.262e-05,229898035406.54047
1978-02-01T06:03:45,0.03815,3.8150000000000006e-05,268872165872.45612
1978-02-01T06:14:57,0.04238,4.2380000000000004e-05,298684204185.44403
1978-02-01T06:26:41,0.04085,4.085e-05,287901126497.7675
1978-02-01T06:38:25,0.03814,3.8140000000000004e-05,268801688240.51053
1978-02-01T06:50:08,0.03696,3.696e-05,260485327670.92993
1978-02-01T07:01:52,0.03611,3.6110000000000005e-05,254494728955.55414
1978-02-01T07:13:16,0.09667,9.667000000000001e-05,681307268018.0953
1978-02-01T07:13:36,0.0381,3.8100000000000005e-05,268519777712.72815
1978-02-01T07:14:08,0.1578,0.0001578,1112137032101.5354
1978-02-01T07:14:08,0.13508,0.00013508000000000001,952011852321.137
1978-02-01T07:14:19,0.11728,0.00011728,826561667457.9725
1978-02-01T07:14:23,0.19598,0.00019598,1381220630869.8284
1978-02-01T07:14:40,0.05643,5.643e-05,397705277069.0091
1978-02-01T07:14:40,0.04536,4.536e-05,319686538505.2322
1978-02-01T07:14:47,0.07571,7.571e-05,533586151460.12195
1978-02-01T07:17:10,0.03967,3.967e-05,279584765928.187
1978-02-01T07:25:52,0.03893,3.893e-05,274369421164.21277
1978-02-01T07:41:20,0.04141,4.1410000000000005e-05,291847873886.72107
1978-02-01T07:53:13,0.0407,4.07e-05,286843962018.5836
1978-02-01T08:04:48,0.04513,4.513e-05,318065552970.48346
1978-02-01T08:16:32,0.04595,4.595e-05,323844718790.02246
1978-02-01T08:28:16,0.0437,4.3700000000000005e-05,307987251602.26294
1978-02-01T08:40:00,0.04154,4.154e-05,292764083102.01373
1978-02-01T08:51:44,0.0378,3.7800000000000004e-05,266405448754.3602
1978-02-01T09:03:28,0.03604,3.604e-05,254001385531.93497
1978-02-01T09:15:12,0.03448,3.4479999999999995e-05,243006874948.42163
1978-02-01T09:26:56,0.03457,3.4569999999999996e-05,243641173635.932
1978-02-01T09:38:39,0.03259,3.2590000000000005e-05,229686602510.70367
1978-02-01T09:50:23,0.03145,3.145e-05,221652152468.9055
1978-02-01T10:02:07,0.03479,3.4790000000000004e-05,245191681538.73523
1978-02-01T10:13:51,0.0347,3.47e-05,244557382851.22482
1978-02-01T10:25:35,0.03263,3.263e-05,229968513038.48602
1978-02-01T10:37:19,0.03091,3.091e-05,217846360343.8432
1978-02-01T10:49:03,0.03123,3.1230000000000004e-05,220101644566.10236
1978-02-01T10:54:23,0.04369,4.3690000000000004e-05,307916773970.3174
1978-02-01T10:56:43,0.03511,3.511e-05,247446965760.99432
1978-02-01T11:08:15,0.03424,3.424e-05,241315411781.7273
1978-02-01T11:19:18,0.0332,3.32e-05,233985738059.38513
1978-02-01T11:21:12,0.03925,3.925e-05,276624705386.47186
1978-02-01T11:33:19,0.03475,3.4750000000000004e-05,244909771010.95285
1978-02-01T11:36:47,0.03067,3.067e-05,216154897177.14886
1978-02-01T13:50:54,0.02456,2.456e-05,173093064058.3885
1978-02-01T14:05:18,0.02372,2.3720000000000003e-05,167172942974.9583
1978-02-01T14:17:02,0.02377,2.377e-05,167525331134.68628
1978-02-01T14:28:46,0.02321,2.3210000000000003e-05,163578583745.73282
1978-02-01T14:40:30,0.0232,2.3199999999999998e-05,163508106113.7872
1978-02-01T14:52:14,0.02362,2.3619999999999997e-05,166468166655.5023
1978-02-01T15:03:57,0.02339,2.339e-05,164847181120.75357
1978-02-01T15:10:21,0.02369,2.369e-05,166961510079.12146
1978-02-01T15:23:02,0.03146,3.146e-05,221722630100.8511
1978-02-01T15:34:53,0.02999,2.999e-05,211362418204.84818
1978-02-01T15:46:37,0.03048,3.048e-05,214815822170.18246
1978-02-01T15:58:21,0.0319,3.1899999999999996e-05,224823645906.45737
1978-02-01T16:10:05,0.03075,3.075e-05,216718718232.71365
1978-02-01T16:20:49,0.0281,2.8100000000000002e-05,198042145767.1302
1978-02-01T16:30:21,0.02863,2.863e-05,201777460260.24686
1978-02-01T17:09:17,0.02437,2.437e-05,171753989051.42215
1978-02-01T17:52:28,0.02596,2.5960000000000002e-05,182959932530.77222
1978-02-01T18:04:12,0.02561,2.561e-05,180493215412.6763
1978-02-01T18:14:20,0.02552,2.5520000000000003e-05,179858916725.16595
1978-02-01T18:45:48,0.0309,3.09e-05,217775882711.89758
1978-02-01T18:57:38,0.03072,3.0720000000000004e-05,216507285336.87686
1978-02-01T18:57:44,0.03631,3.631e-05,255904281594.4661
1978-02-01T19:05:12,0.04254,4.254e-05,299811846296.5736
1978-02-01T19:07:08,0.03345,3.345e-05,235747678858.02505
1978-02-01T19:23:26,0.11189,0.00011189,788574223839.2952
1978-02-01T19:25:25,0.05532,5.532e-05,389882259923.0477
1978-02-01T19:25:44,0.08083,8.083e-05,569670699016.2681
1978-02-01T19:26:52,0.0395,3.95e-05,278386646185.1118
