time,i082_ergs_per_cm2_per_s,i082_W_per_m2,i082_ph_flux
1978-03-01T01:33:27,0.01489,1.4890000000000001e-05,104941193966.99533
1978-03-01T01:34:25,0.0191,1.91e-05,134612277016.09204
1978-03-01T01:38:06,0.02556,2.556e-05,180140827252.9483
1978-03-01T01:50:21,0.02802,2.802e-05,197478324711.56537
1978-03-01T02:02:08,0.02926,2.926e-05,206217551072.81955
1978-03-01T02:13:18,0.03109,3.109e-05,219114957718.86398
1978-03-01T02:17:08,0.03633,3.633e-05,256045236858.35727
1978-03-01T02:41:09,0.03416,3.4160000000000005e-05,240751590726.16257
1978-03-01T02:44:38,0.02749,2.7490000000000003e-05,193743010218.44873
1978-03-01T02:48:45,0.02339,2.339e-05,164847181120.75357
1978-03-01T02:55:04,0.02713,2.7130000000000003e-05,191205815468.4072
1978-03-01T03:10:50,0.02442,2.442e-05,172106377211.15015
1978-03-01T03:51:51,0.02247,2.247e-05,158363238981.75854
1978-03-01T04:13:55,0.02296,2.296e-05,161816642947.09286
1978-03-01T04:43:54,0.0239,2.39e-05,168441540349.97906
1978-03-01T04:55:41,0.02302,2.302e-05,162239508738.76645
1978-03-01T05:07:53,0.02307,2.307e-05,162591896898.49442
1978-03-01T05:16:34,0.01886,1.886e-05,132920813849.39767
1978-03-01T05:35:51,0.02179,2.179e-05,153570760009.4579
1978-03-01T07:38:31,0.03112,3.112e-05,219326390614.70074
1978-03-01T08:23:49,0.02563,2.563e-05,180634170676.5675
1978-03-01T08:46:00,0.03337,3.337e-05,235183857802.46027
1978-03-01T08:52:08,0.04027,4.027e-05,283813423844.92285
1978-03-01T08:59:56,0.04278,4.278e-05,301503309463.2679
1978-03-01T10:02:04,0.05335,5.335e-05,375998166429.76495
1978-03-01T10:03:44,0.0433,4.33e-05,305168146324.439
1978-03-01T10:11:57,0.03616,3.616e-05,254847117115.2821
1978-03-01T10:16:56,0.04479,4.479e-05,315669313484.3332
1978-03-01T10:22:25,0.03785,3.7850000000000005e-05,266757836914.0882
1978-03-01T10:32:28,0.03606,3.6060000000000004e-05,254142340795.82617
