time,i082_ergs_per_cm2_per_s,i082_W_per_m2,i082_ph_flux,f107
1978-01-01,0.025,2.5e-05,176194079863.99484,126.9
1978-01-02,0.022,2.2e-05,155050790280.31546,133.9
1978-01-03,0.029,2.9e-05,204385132642.234,130.2
1978-01-04,0.030000000000000002,3e-05,211432895836.7938,124.8
1978-01-05,0.02,2e-05,140955263891.19586,119.2
1978-01-06,0.020999999999999998,2.1e-05,148003027085.75565,118.7
1978-01-07,0.024,2.4e-05,169146316669.43503,111.6
1978-01-08,0.030000000000000002,3e-05,211432895836.7938,102.8
1978-01-09,0.011,1.1e-05,77525395140.15773,97.0
1978-01-10,0.0098,9.8e-06,69068079306.68597,93.5
1978-01-11,0.0088,8.8e-06,62020316112.12618,93.1
1978-01-12,0.0074,7.4e-06,52153447639.74247,92.1
1978-01-13,0.007,7e-06,49334342361.91855,90.3
1978-01-14,0.006,6e-06,42286579167.35876,88.6
1978-01-15,0.0047,4.7e-06,33124487014.431026,89.6
1978-01-16,0.0033,3.3e-06,23257618542.047318,86.4
1978-01-17,0.003,3e-06,21143289583.67938,83.8
1978-01-18,0.005,5e-06,35238815972.798965,84.7
1978-01-19,0.0076,7.6e-06,53563000278.65443,85.4
1978-01-20,0.01,1e-05,70477631945.59793,87.0
1978-01-21,0.0084,8.4e-06,59201210834.30225,91.4
1978-01-22,0.0099,9.9e-06,69772855626.14195,99.6
1978-01-23,0.01,1e-05,70477631945.59793,100.4
1978-01-24,0.012,1.2e-05,84573158334.71751,103.3
1978-01-25,0.020999999999999998,2.1e-05,148003027085.75565,112.7
1978-01-26,0.030000000000000002,3e-05,211432895836.7938,116.4
1978-01-27,0.033,3.3e-05,232576185420.47318,127.7
1978-01-28,0.028,2.8e-05,197337369447.6742,132.2
1978-01-29,0.05,5e-05,352388159727.9897,134.9
1978-01-30,0.030000000000000002,3e-05,211432895836.7938,134.9
1978-01-31,0.032,3.2e-05,225528422225.91336,133.3
1978-02-01,0.031,3.1e-05,218480659031.35358,139.1
1978-02-02,0.078,7.8e-05,549725529175.6638,152.6
1978-02-03,0.093,9.3e-05,655441977094.0607,156.6
1978-02-04,0.031,3.1e-05,218480659031.35358,154.0
